date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:03:19	234/234	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2015%20Feb%202022%2003:03:19%20GMT	https://ape2022.com/robots.txt		(from )
11:03:20	206834/206834	---MCZ	200	added ('OK')	text/html	date:Tue,%2015%20Feb%202022%2003:03:20%20GMT	https://ape2022.com/	C:/Users/ppgam/Desktop/https___ape2022.com/ape2022.com/index.html	(from )
11:03:21	14426/14426	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%22385a-5d7c053e5c8a7%22	https://ape2022.com/favicon.ico	C:/Users/ppgam/Desktop/https___ape2022.com/ape2022.com/favicon.ico	(from https://ape2022.com/)
11:03:21	26359/26359	---M-Z	200	added ('OK')	text/css	etag:%2266f7-5d7c0543ed581-gzip%22	https://ape2022.com/css/app_1.css	C:/Users/ppgam/Desktop/https___ape2022.com/ape2022.com/css/app_1.css	(from https://ape2022.com/)
11:03:21	5609/5609	---M--	200	added ('OK')	image/png	etag:%2215e9-5d7c054b7ed78%22	https://ape2022.com/images/content/bayc-logo.png	C:/Users/ppgam/Desktop/https___ape2022.com/ape2022.com/images/content/bayc-logo.png	(from https://ape2022.com/)
11:03:22	274/274	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2015%20Feb%202022%2003:03:21%20GMT	https://ape2022.com/google.com	C:/Users/ppgam/Desktop/https___ape2022.com/ape2022.com/google.com	(from https://ape2022.com/)
11:03:22	1176994/1176994	---M--	200	added ('OK')	image/png	etag:%2211f5a2-5d7c05570120c%22	https://ape2022.com/images/content/11234141.png	C:/Users/ppgam/Desktop/https___ape2022.com/ape2022.com/images/content/11234141.png	(from https://ape2022.com/)
11:03:22	109098/109098	---M--	200	added ('OK')	image/png	etag:%221aa2a-5d7c054e7a835%22	https://ape2022.com/images/content/qweqweqwe324.png	C:/Users/ppgam/Desktop/https___ape2022.com/ape2022.com/images/content/qweqweqwe324.png	(from https://ape2022.com/)
11:03:23	127881/127881	---M--	200	added ('OK')	image/png	etag:%221f389-5d7c054ede1f5%22	https://ape2022.com/images/content/yetywuryetwryu.png	C:/Users/ppgam/Desktop/https___ape2022.com/ape2022.com/images/content/yetywuryetwryu.png	(from https://ape2022.com/)
11:03:23	46683/46683	---M--	200	added ('OK')	image/png	etag:%22b65b-5d7c05574482b%22	https://ape2022.com/images/content/qqqqq.png	C:/Users/ppgam/Desktop/https___ape2022.com/ape2022.com/images/content/qqqqq.png	(from https://ape2022.com/)
